offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
15,1,5,10,0.2,16,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.12.10
45,1,3,10,1,25,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.12.11
75,1,0.5,15,0.4,75,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.12.12
115,1,2,15,0.4,25,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip2.12.13
40,1,0.2,5,5,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.1
90,1,0.2,5,5,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.2
220,1,0.1,5,10,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.3
460,1,0.1,10,15,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.4
140,1,0.1,5,5,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.5
290,1,0.1,5,5,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.6
340,1,0.1,5,10,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.7
525,1,0.1,10,15,9999,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.8
825,1,0.1,15,999,8888,FALSE,TRUE,FALSE,TRUE,31,71,43,0,0,0,0,0,0,0,tip4.9
1,1,130,1,1,8888,TRUE,TRUE,TRUE,FALSE,41,60,43,22,0,0,0,0,0,0,dip1
1,1,140,2,1,8888,TRUE,TRUE,TRUE,FALSE,33,51,43,32,0,0,0,0,0,0,dip2
1,1,1,3,1,8888,TRUE,TRUE,TRUE,FALSE,29,64,43,42,0,0,0,0,0,0,dip3
1,1,1,3,1,8888,TRUE,TRUE,TRUE,FALSE,26,47,43,42,0,0,0,0,0,0,dip4
5,1,100,5,0.01,14,FALSE,FALSE,TRUE,FALSE,24,68,14,0,0,0,0,0,0,0,dip3.1
10,1,5,5,0.1,44,FALSE,FALSE,TRUE,FALSE,24,68,14,0,0,0,0,0,0,0,dip3.2
15,1,5,10,0.2,16,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip3.3
45,1,30,10,1,25,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip3.4
75,1,4,12,0.4,75,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip3.5
115,1,4,15,0.4,25,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.6
215,1,3,20,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.7
470,1,2,20,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.8
675,1,2,30,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip3.9
475,1,10,10,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip3.10
550,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,22,55,43,0,0,0,0,0,0,0,dip3.11
750,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,25,55,43,0,0,0,0,0,0,0,dip3.12
1250,1,1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip3.13
1650,1,0.1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,58,0,0,0,0,0,0,dip3.14
2105,1,0.1,150,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,78,0,0,0,0,0,0,dip3.15
3250,1,0.1,250,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,88,0,0,0,0,0,0,dip3.16
45,1,30,10,1,25,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip4.1
75,1,4,12,0.4,75,FALSE,FALSE,TRUE,FALSE,24,64,14,0,0,0,0,0,0,0,dip4.2
115,1,4,15,0.4,25,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip4.3
215,1,3,25,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip4.4
